Year	Bay	Site	Size	Fucoid_F	Fucoid_G	Fucoid_T	Barnacle	M_300	M_425	M_WT	F_start	F_end	B_start	B_end	M_start	M_end					
1997	BC	DK	0	6	13	19	26	32	0	3.58	4/7/97	5/27/97	3/10/97	5/12/97	6/2/97	8/9/97					
1997	BC	DK	1	1	0	1	6	8	24	3.58	4/7/97	5/27/97	3/10/97	5/12/97	6/2/97	8/9/97					
1997	BC	DK	2	5	30	35	132	24	0	3.85	4/7/97	5/27/97	3/10/97	5/12/97	6/2/97	8/9/97					
1997	BC	DK	4	0	0	0	1	0	0	4.36	4/7/97	5/27/97	3/10/97	5/12/97	6/2/97	8/9/97					
1997	BC	DK	8	0	0	0	231	0	0	3.55	4/7/97	5/27/97	3/10/97	5/12/97	6/2/97	8/9/97					
1997	BC	LC	0	41	37	78	2	112	72	3.29	4/6/97	5/27/97	3/8/97	5/10/97	6/2/97	8/8/97					
1997	BC	LC	1	30	113	143	35	0	0	3.23	4/6/97	5/27/97	3/8/97	5/10/97	6/2/97	8/8/97					
1997	BC	LC	2	0	24	24	197	48	120	2.99	4/6/97	5/27/97	3/8/97	5/10/97	6/2/97	8/8/97					
1997	BC	LC	4	0	0	0	43	8	32	2.68	4/6/97	5/27/97	3/8/97	5/10/97	6/2/97	8/8/97					
1997	BC	LC	8	0	0	0	161	0	0	2.99	4/6/97	5/27/97	3/8/97	5/10/97	6/2/97	8/8/97					
1997	BC	MP	0	73	212	285	117	-999.9	-999.9	-999.9	4/6/97	5/26/97	3/8/97	5/10/97	6/2/97	nd					
1997	BC	MP	1	2	0	2	262	80	80	3.26	4/6/97	5/26/97	3/8/97	5/10/97	6/2/97	8/8/97					
1997	BC	MP	2	0	0	0	44	40	8	1.98	4/6/97	5/26/97	3/8/97	5/10/97	6/2/97	8/8/97					
1997	BC	MP	4	1	0	1	287	72	112	3.49	4/6/97	5/26/97	3/8/97	5/10/97	6/2/97	8/8/97					
1997	BC	MP	8	0	0	0	47	24	32	3.30	4/6/97	5/26/97	3/8/97	5/10/97	6/2/97	8/8/97					
1997	MC	BO	0	1	24	25	34	1728	1184	3.23	4/7/97	5/28/97	3/9/97	5/12/97	6/3/97	8/9/97					
1997	MC	BO	1	6	41	47	63	3688	1264	3.28	4/7/97	5/28/97	3/9/97	5/12/97	6/3/97	8/9/97					
1997	MC	BO	2	0	15	15	22	2568	456	3.28	4/7/97	5/28/97	3/9/97	5/12/97	6/3/97	8/9/97					
1997	MC	BO	4	1	1	2	375	2120	368	3.62	4/7/97	5/28/97	3/9/97	5/12/97	6/3/97	8/9/97					
1997	MC	BO	8	0	0	0	71	984	552	2.97	4/7/97	5/28/97	3/9/97	5/12/97	6/3/97	8/9/97					
1997	MC	BS	0	68	445	513	1	4184	1240	3.50	4/7/97	5/27/97	3/8/97	5/10/97	6/2/97	8/10/97					
